,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_tipo,aeronave_operador_categoria,aeronave_tipo_veiculo
1270,45596,ACIDENTE,PI,****,2012-06-03,12:30:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
1271,45604,INCIDENTE,RJ,SBRJ,2012-06-03,11:31:00,TRÁFEGO AÉREO,REGULAR,AVIÃO
1272,45670,INCIDENTE,BA,SBSV,2012-06-03,23:25:00,OUTROS,REGULAR,AVIÃO
1273,45594,ACIDENTE,GO,****,2012-07-03,10:00:00,FALHA DO MOTOR EM VOO,AGRÍCOLA,AVIÃO
1274,45601,INCIDENTE,SP,SBGR,2012-07-03,17:40:00,TRÁFEGO AÉREO,REGULAR,AVIÃO
1275,45624,INCIDENTE,ES,****,2012-07-03,11:45:00,FUMAÇA NA CABINE,TÁXI AÉREO,AVIÃO
1276,45671,INCIDENTE,TO,SBPJ,2012-07-03,10:50:00,FALHA DO MOTOR EM VOO,TÁXI AÉREO,AVIÃO
1277,45728,INCIDENTE,AC,****,2012-08-03,22:00:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,PARTICULAR,AVIÃO
1278,45677,INCIDENTE,GO,****,2012-09-03,08:30:00,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,TÁXI AÉREO,AVIÃO
1279,45695,INCIDENTE,RJ,SBME,2012-09-03,11:35:00,VAZAMENTO DE OUTROS FLUIDOS,TÁXI AÉREO,HELICÓPTERO
1280,45698,INCIDENTE,CE,****,2012-09-03,14:00:00,SOPRO DE REATOR,PARTICULAR,HELICÓPTERO
1281,45612,INCIDENTE,PR,SBLO,2012-10-03,16:35:00,PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,AVIÃO
1282,45647,INCIDENTE,RJ,****,2012-10-03,11:48:00,COM COMANDOS DE VOO,TÁXI AÉREO,HELICÓPTERO
1283,45694,INCIDENTE,SP,SBRP,2012-10-03,12:25:00,ESTOURO DE PNEU,PARTICULAR,AVIÃO
1284,45789,INCIDENTE,BA,SBIL,2012-10-03,12:30:00,INDETERMINADO,PARTICULAR,HELICÓPTERO
1285,45696,INCIDENTE,SP,****,2012-11-03,17:30:00,COLISÃO COM OBSTÁCULOS NO SOLO,INSTRUÇÃO,AVIÃO
1286,45697,INCIDENTE,SP,****,2012-11-03,22:42:00,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,REGULAR,AVIÃO
1287,45597,ACIDENTE,MS,SBCG,2012-12-03,14:38:00,COM TREM DE POUSO,***,AVIÃO
1288,45597,ACIDENTE,MS,SBCG,2012-12-03,14:38:00,EXCURSÃO DE PISTA,***,AVIÃO
1289,45611,INCIDENTE,RJ,SBGL,2012-12-03,01:42:00,POUSO LONGO,***,AVIÃO
1290,45618,ACIDENTE,SC,****,2012-12-03,17:00:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1291,45600,INCIDENTE GRAVE,RS,****,2012-03-13,20:30:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1292,45609,INCIDENTE,GO,****,2012-03-13,12:50:00,COLISÃO COM AVE,REGULAR,AVIÃO
1293,45786,INCIDENTE,BA,SBSV,2012-03-14,12:46:00,ESTOURO DE PNEU,REGULAR,AVIÃO
1294,45692,INCIDENTE,SP,****,2012-03-15,14:35:00,COLISÃO COM AVE,PARTICULAR,AVIÃO
1295,45729,ACIDENTE,MS,****,2012-03-15,10:00:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1296,45729,ACIDENTE,MS,****,2012-03-15,10:00:00,POUSO LONGO,***,AVIÃO
1297,45625,INCIDENTE,RS,****,2012-03-16,12:25:00,ESTOURO DE PNEU,PARTICULAR,AVIÃO
1298,45654,INCIDENTE GRAVE,SC,SSKT,2012-03-16,21:00:00,COM TREM DE POUSO,***,AVIÃO
1299,45654,INCIDENTE GRAVE,SC,SSKT,2012-03-16,21:00:00,EXCURSÃO DE PISTA,***,AVIÃO
1300,45691,INCIDENTE,SP,****,2012-03-16,18:40:00,COLISÃO COM AVE,PARTICULAR,HELICÓPTERO
1301,45864,INCIDENTE,RJ,****,2012-03-17,17:30:00,POUSO EM LOCAL NÃO PREVISTO,TÁXI AÉREO,HELICÓPTERO
1302,45685,INCIDENTE,RJ,SBBZ,2012-03-18,12:20:00,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,TÁXI AÉREO,HELICÓPTERO
1303,45619,ACIDENTE,SP,SDCO,2012-03-19,19:18:00,PERDA DE CONTROLE EM VOO,EXPERIMENTAL,ULTRALEVE
1304,45652,ACIDENTE,RS,****,2012-03-19,14:20:00,PERDA DE CONTROLE EM VOO,***,AVIÃO
1305,45686,INCIDENTE,SP,****,2012-03-20,16:10:00,COLISÃO COM AVE,REGULAR,AVIÃO
1306,46067,INCIDENTE,RJ,****,2012-03-21,12:50:00,POUSO EM LOCAL NÃO PREVISTO,TÁXI AÉREO,HELICÓPTERO
1307,45795,INCIDENTE,GO,SBGO,2012-03-22,19:45:00,PERDA DE COMPONENTE NO SOLO,INSTRUÇÃO,AVIÃO
1308,45796,INCIDENTE,CE,SBFZ,2012-03-22,14:41:00,VAZAMENTO DE OUTROS FLUIDOS,REGULAR,AVIÃO
1309,45730,ACIDENTE,RJ,SDMC,2012-03-23,16:15:00,EXCURSÃO DE PISTA,***,AVIÃO
1310,45730,ACIDENTE,RJ,SDMC,2012-03-23,16:15:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1311,45798,INCIDENTE GRAVE,SC,****,2012-03-23,21:17:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1312,45651,ACIDENTE,SP,****,2012-03-24,20:45:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1313,45794,ACIDENTE,SC,SBNF,2012-03-24,17:40:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,***,AVIÃO
1314,45784,INCIDENTE,MG,****,2012-03-26,17:45:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,ADMINISTRAÇÃO DIRETA,AVIÃO
1315,45797,INCIDENTE,SP,SBRP,2012-03-26,20:38:00,PERDA DE CONTROLE NO SOLO,INSTRUÇÃO,AVIÃO
